Labels,Title,State,Date,URL,Author
,IPMI LAN cmd parameter - Community String(Num 16),open,2016-10-22,https://github.com/openbmc/openbmc/issues/689,williamli80
,IPMI LAN cmd parameters - Gateway related,open,2016-10-22,https://github.com/openbmc/openbmc/issues/688,williamli80
,IPMI LAN cmd parameters - ARP(optional),open,2016-10-22,https://github.com/openbmc/openbmc/issues/687,williamli80
,IPMI LAN cmd parameters - Primary/Secondary RMCP Port (optional),open,2016-10-22,https://github.com/openbmc/openbmc/issues/686,williamli80
,IPMI LAN cmd parameter - IPv4 Header Parameters,open,2016-10-22,https://github.com/openbmc/openbmc/issues/685,williamli80
,getvpd: Define dbus interface for OpenPower vpd inventory,closed,2016-10-21,https://github.com/openbmc/openbmc/issues/684,geissonator
,getvpd: Define dbus interface for IPMI vpd inventory,closed,2016-10-21,https://github.com/openbmc/openbmc/issues/683,geissonator
,getvpd: Define dbus interface for FRU vpd inventory,closed,2016-10-21,https://github.com/openbmc/openbmc/issues/682,geissonator
,getvpd: Generate required data for VPD from MRW,open,2016-10-21,https://github.com/openbmc/openbmc/issues/681,geissonator
,Add Zaius board in U-Boot,open,2016-10-21,https://github.com/openbmc/openbmc/issues/680,GHF
,create symlink for <platform>.all.tar file,open,2016-10-20,https://github.com/openbmc/openbmc/issues/679,fspbld
,Need PCA9552 device driver support for both LEDs and GPIOs,open,2016-10-19,https://github.com/openbmc/openbmc/issues/678,spinler
,docs: Create tutorial doc for journal logging and BMC error reporting,open,2016-10-17,https://github.com/openbmc/openbmc/issues/677,anoo1
bug,"[Barreleye VERSION=""v1.99.0-173""]  System Network Un reachable when Powered ON",closed,2016-10-17,https://github.com/openbmc/openbmc/issues/676,gkeishin
,phosphor-dbus-interfaces: Provide interface for dbus object,closed,2016-10-16,https://github.com/openbmc/openbmc/issues/675,anoo1
duplicate,"[Barrreleye]  Build #301-7ad75ece9a21f1 (Oct 14, 2016 3:21:27 PM)   Update failed",closed,2016-10-14,https://github.com/openbmc/openbmc/issues/674,gkeishin
observation,"[Palmetto VERSION=""v1.99.0-172""] BMC MAC Address is changing after reboot",closed,2016-10-14,https://github.com/openbmc/openbmc/issues/673,rahulmah
,"[Barreleye VERSION=""v1.99.0-172""] pam_unix(passwd:chauthtok): unrecognized option [obscure]",open,2016-10-14,https://github.com/openbmc/openbmc/issues/672,gkeishin
,bmc state: Implement bmc state interface to conform to new design,closed,2016-10-13,https://github.com/openbmc/openbmc/issues/671,geissonator
,fw version: Implement get firmware version interface to conform to new design,open,2016-10-13,https://github.com/openbmc/openbmc/issues/670,geissonator
,power on/off: Implement power on and off interfaces to conform to new design,closed,2016-10-13,https://github.com/openbmc/openbmc/issues/669,geissonator
